"","season_info_id","season_name","diet_scat_date","diets_id","sample_num","sample_type","species","sex","location","beach_id","collection_date","collector","process_date","processor","krill_type","fish_type","squid_type","carapace_save","tag_id","tag","tag_type","primary_tag","pinniped_id","notes","created_dt"
"28",16,"2012/13",2012-12-22,28,26,"scat","Fur seal","F","Daniel",133,2013-01-07,"MEG",2013-01-28,"JRW","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 10:00:49
"29",16,"2012/13",2012-12-22,29,56,"scat","Fur seal","F","Chungungo Flats",63,2013-01-28,"JRW",2013-01-28,"MLZ","Yes","Yes","Yes",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 10:06:03
"30",16,"2012/13",2012-12-22,30,57,"scat","Fur seal","F","Maderas Ridge",104,2013-01-28,"JRW",2013-01-29,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"MLZ helped process otoliths",2013-03-01 10:20:58
"31",16,"2012/13",2012-12-22,31,29,"scat","Fur seal","F","Cachorros Central",110,2013-01-08,"JRW",2013-01-29,"DJK","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 11:38:05
"32",16,"2012/13",2012-12-22,32,19,"scat","Fur seal","F","Cachorros Central",110,2012-12-30,"MLZ",2013-01-30,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 11:44:21
"33",16,"2012/13",2012-12-22,33,60,"scat","Fur seal","F","Hue Central",74,2013-01-29,"MLZ",2013-01-30,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 11:49:33
"34",16,"2012/13",2012-12-22,34,58,"scat","Fur seal","F","Copi Central",81,2013-01-28,"MLZ",2013-01-30,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"DJK worked on this as well; nematode worm found",2013-03-01 11:54:43
"35",16,"2012/13",2012-12-22,35,20,"scat","Fur seal","F","Hue West",79,2012-12-31,"JRW",2013-01-31,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 12:05:03
"36",16,"2012/13",2012-12-22,36,17,"scat","Fur seal","F","Maderas East",102,2012-12-30,"JRW",2013-01-31,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 12:11:20
"37",16,"2012/13",2012-12-22,37,16,"scat","Fur seal","F","Hue Central",74,2012-12-30,"JRW",2012-12-30,"DJK","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 12:12:13
"38",16,"2012/13",2012-12-22,38,28,"scat","Fur seal","F","Hue",73,2013-01-07,"MEG",2013-01-07,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 13:55:07
"39",16,"2012/13",2012-12-22,39,23,"scat","Fur seal","F","Marko",116,2013-01-05,"MEG",2013-02-03,"JRW","Yes","Yes","Yes",FALSE,NA,NA,NA,NA,NA,"Found 12 nematode worms and 2 dorsal squid beaks",2013-03-01 14:00:16
"40",16,"2012/13",2012-12-22,40,67,"scat","Fur seal","F","Hue West",79,2013-02-03,"MLZ",2013-02-05,"DJK","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,"JRW helped work on this scat",2013-03-01 14:11:25
"41",16,"2012/13",2012-12-22,41,63,"scat","Fur seal","F","Marko",116,2013-02-03,"DJK",2013-02-06,"MLZ","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 14:18:54
"42",16,"2012/13",2012-12-22,42,61,"scat","Fur seal","F","Chungungo Central",62,2013-02-02,"JRW",2013-02-06,"JRW","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 14:28:34
"43",16,"2012/13",2012-12-22,43,18,"scat","Fur seal","F","Cachorros West",115,2012-12-30,"MLZ",2013-02-10,"JRW","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 14:37:53
"44",16,"2012/13",2012-12-22,44,11,"scat","Fur seal","F","Daniel",133,2012-12-29,"MEG",2013-02-11,"JRW","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,"1 nematode found",2013-03-01 14:43:47
"45",16,"2012/13",2012-12-22,45,73,"scat","Fur seal","F","Chungungo Flats",63,2013-02-09,"JRW",2013-02-12,"MLZ","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 14:54:05
"46",16,"2012/13",2012-12-22,46,72,"scat","Fur seal","F","Chungungo Hill",68,2013-02-09,"JRW",2013-02-13,"DJK","No","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 15:15:41
"47",16,"2012/13",2012-12-22,47,74,"scat","Fur seal","F","Maderas Flats",103,2013-02-09,"JRW",2013-02-13,"JRW","Yes","Yes","Yes",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 15:55:56
"48",16,"2012/13",2012-12-22,48,75,"scat","Fur seal","F","Copi Ridge",82,2013-02-09,"MLZ",2013-02-13,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 16:09:07
"49",16,"2012/13",2012-12-22,49,76,"scat","Fur seal","F","Chonos",58,2013-02-09,"JRW",2013-02-14,"MLZ","Yes","Yes","Yes",TRUE,NA,NA,NA,NA,NA,"Actually collected on Chorros, but won't let me enter that. Location updated based on note (SMW 2020)",2013-03-01 16:14:19
"50",16,"2012/13",2012-12-22,50,47,"scat","Fur seal","F","Copi Central",81,2013-01-20,"MLZ",2013-02-15,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"Totally degraded krill scatt, a few fish bones but no otoliths present.",2013-03-01 16:43:08
"51",16,"2012/13",2012-12-22,51,78,"scat","Fur seal","F","Chungungo Ridge",69,2013-02-10,"JRW",2013-02-15,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 16:45:28
"52",16,"2012/13",2012-12-22,52,79,"scat","Fur seal","F","Copi Central",81,2013-02-10,"MLZ",2013-02-15,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 16:50:50
"53",16,"2012/13",2012-12-22,53,81,"scat","Fur seal","F","El Condor",125,2013-02-16,"JRW",2013-02-16,"MLZ","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 16:56:54
"54",16,"2012/13",2012-12-22,54,87,"scat","Fur seal","F","Modulo Flats",130,2013-02-16,"DJK",2013-02-16,"DJK","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 17:09:05
"55",16,"2012/13",2012-12-22,55,82,"scat","Fur seal","F","Copi Flats",84,2013-02-16,"JRW",2013-02-17,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"A few fish bones but no otoliths.",2013-03-01 17:17:12
"56",16,"2012/13",2012-12-22,56,89,"scat","Fur seal","F","Chonos",58,2013-02-16,"MLZ",2013-02-19,"MLZ","Yes","Yes","No",TRUE,NA,NA,NA,NA,NA,NA,2013-03-01 17:24:31
"57",16,"2012/13",2012-12-22,57,88,"scat","Fur seal","F","Aymara",71,2013-02-16,"MLZ",2013-02-20,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 18:40:50
"58",16,"2012/13",2012-12-22,58,80,"scat","Fur seal","F","Marko",116,2013-02-10,"DJK",2013-02-20,"MLZ","No","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 18:47:14
"59",16,"2012/13",2012-12-22,59,84,"scat","Fur seal","F","Cachorros Ridge",114,2013-02-16,"JRW",2013-02-21,"JRW","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 19:04:36
"60",16,"2012/13",2012-12-22,60,90,"scat","Fur seal","F","Chungungo Hill",68,2013-02-16,"MLZ",2013-02-21,"MLZ","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"JRW worked on this scat as well",2013-03-01 19:13:36
"61",16,"2012/13",2012-12-22,61,85,"scat","Fur seal","F","Hue West",79,2013-02-16,"JRW",2013-02-24,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-01 19:22:00
"62",16,"2012/13",2012-12-22,62,83,"scat","Fur seal","F","Maderas Ridge",104,2013-02-16,"MLZ",2013-02-24,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,"Degraded krill scat",2013-03-01 19:27:47
"63",16,"2012/13",2012-12-22,63,86,"scat","Fur seal","F","Hue West",79,2013-02-16,"JRW",2013-02-22,"JRW","Yes","Yes","Yes",FALSE,NA,NA,NA,NA,NA,"Found squid eyes but no beaks",2013-03-01 19:30:59
"64",16,"2012/13",2012-12-22,64,30,"scat","Fur seal","F","Copi Central",81,2013-01-09,"MLZ",2013-02-28,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 08:34:37
"65",16,"2012/13",2012-12-22,65,25,"scat","Fur seal","F","Hue Central",74,2013-01-05,"MLZ",2013-02-28,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 08:40:18
"66",16,"2012/13",2012-12-22,66,7,"scat","Fur seal","F","Hue West",79,2012-12-23,"JRW",2013-03-01,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 08:45:53
